FocalIndividual,FocalSC,ParentA,ParentASC,ParentB,ParentBSC
April17_2018_D8_Male4,AB,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_D8_MomPE2,AB,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_23,AL,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_3,AL,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_38,AM,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_8,AM,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_27,O,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_34,O,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_44,O,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_Male1,O,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_Male2,O,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_Male3,O,April_2017_D8_213,A,April_2017_D8_151,C
April17_2018_D8_Male1,OO,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_D8_MomPE1,OO,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_D8_MomPE4,OO,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_DBunk_MomPE3,OO,April_2017_D8_213,A,April_2017_D8_151,C
March_2018_D8_18030,OO,April_2017_D8_213,A,April_2017_D8_151,C
March15_2019_D8_MomPE3,OO,April_2017_D8_213,A,April_2017_D8_151,C
March15_2019_D8_MomPE5,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_11,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_13,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_15,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_21,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_25,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_39,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_41,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_45,OO,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_5,OO,April_2017_D8_213,A,April_2017_D8_151,C
April17_2018_D8_Male5,Q,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_DBunk_MomPE5,Q,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_2,Q,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_28,Q,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_4,Q,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_14,S,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_29,S,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_35,S,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_7,S,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_9,S,April_2017_D8_213,A,April_2017_D8_151,C
April17_2018_D8_Male2,T,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_12,T,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_22,T,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_31,T,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_D8_MomPE3,U,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_D8_MomPE5,U,April_2017_D8_213,A,April_2017_D8_151,C
April29_2018_DBunk_Male3,U,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_17,U,April_2017_D8_213,A,April_2017_D8_151,C
April17_2018_D8_Male3,X,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_30,X,April_2017_D8_213,A,April_2017_D8_151,C
March20_2018_D8_36,X,April_2017_D8_213,A,April_2017_D8_151,C
April_2017_D8_134,OO,Spring_2016_D8_8.25,A,Spring_2016_D8_8.26,OO
March20_2018_D8_16,AK,April_2017_D8_213,A,unsampled,
March20_2018_D8_33,AK,April_2017_D8_213,A,unsampled,
March15_2019_D8_MomPE9,OO,March20_2018_D8_10,A,unsampled,
April_2017_D8_137,OO,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
March15_2019_D8_MomPE6,OO,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
Spring_2017_D8_336,OO,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
April_2017_D8_101,R,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
April_2017_D8_55,R,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
April_2017_D8_9,R,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
May_2017_D8_548,R,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
May_2017_D8_735,R,Spring_2016_D8_8.9,H,Spring_2016_D8_8.16,W
April_2017_DBunk_112,M,Spring_2016_D8_8.9,H,unsampled,
April_2017_DBunk_266,M,Spring_2016_D8_8.9,H,unsampled,
April_2017_DBunk_27,M,Spring_2016_D8_8.9,H,unsampled,
April_2017_DBunk_28,M,Spring_2016_D8_8.9,H,unsampled,
April_2017_DBunk_38,M,Spring_2016_D8_8.9,H,unsampled,
Spring_2017_DBunk_110,M,Spring_2016_D8_8.9,H,unsampled,
Spring_2017_DBunk_281,M,Spring_2016_D8_8.9,H,unsampled,
Spring_2017_DBunk_387,OO,Spring_2016_D8_8.9,H,unsampled,
March20_2018_D8_46,J,April_2017_DBunk_6,L,unsampled,
March20_2018_D8_40,OO,Spring_2017_D8_336,OO,April_2017_D8_151,C
March15_2019_D8_MomPE1,OO,April29_2018_DBunk_MomPE3,OO,April_2017_D8_214,roC
March15_2019_D8_MomPE20,OO,March20_2018_D8_26,OO,unsampled,
March20_2018_D8_26 ,OO,Spring_2016_D8_8.26,OO,unsampled,
May_2017_D8_538,OO,Spring_2016_D8_8.24,poH,unsampled,
March15_2019_D8_MomPE12,AG,March20_2018_D8_9,S,March20_2018_D8_26,OO
March15_2019_D8_MomPE13,AG,March20_2018_D8_9,S,March20_2018_D8_26,OO
March15_2019_D8_MomPE11,OO,March20_2018_D8_9,S,March20_2018_D8_41,OO
March15_2019_D8_MomPE8,OO,March20_2018_D8_9,S,April17_2018_D8_Male1,OO
March15_2019_D8_MomPE14,OO,March20_2018_D8_9,S,March20_2018_D8_4,Q
March15_2019_D8_MomPE4,OO,March20_2018_D8_9,S,March20_2018_D8_17,U
March15_2019_D8_MomPE16,OO,March20_2018_D8_9,S,unsampled,
March15_2019_D8_MomPE7,OO,March20_2018_D8_9,S,unsampled,
December17_2018_D8_1,OO,March20_2018_D8_12,T,unsampled,
March15_2019_D8_MomPE17,OO,March20_2018_D8_17,U,April_2017_D8_214,roC
March15_2019_DBunk_MomPE16,OO,March20_2018_D8_17,U,unsampled,
May_2017_DBunk_557,AO,Spring_2016_D8_8.16,W,unsampled,
Spring_2017_DBunk_198,AO,Spring_2016_D8_8.16,W,unsampled,
May_2017_DBunk_590,OO,Spring_2016_D8_8.16,W,unsampled,
Spring_2017_DBunk_252,OO,Spring_2016_D8_8.16,W,unsampled,
March15_2019_D8_MomPE10,OO,March20_2018_D8_30,X,unsampled,
