Clone,NCBISampAccession,SC,population,year,month,medrd,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,OneLiterPheno,LowReadDepth
March20_2018_DBunk_13,SAMN19021232,J,DBunk,2018,March,22,1,female,pulex,0,0,0,0
March20_2018_DBunk_14,SAMN19021233,I,DBunk,2018,March,33,1,female,pulex,0,0,0,0
March20_2018_DBunk_15,SAMN19021234,J,DBunk,2018,March,26,1,female,pulex,0,0,0,0
March20_2018_DBunk_16,SAMN19021235,I,DBunk,2018,March,15,1,female,pulex,0,0,0,0
March20_2018_DBunk_17,SAMN19021236,J,DBunk,2018,March,15,1,female,pulex,0,0,0,0
March20_2018_DBunk_18,SAMN18938161,G,DBunk,2018,March,12,1,female,obtusa,0,0,0,0
March20_2018_DBunk_18005,SAMN19021237,AR,DBunk,2018,March,18,0,female,pulex,0,0,1,0
March20_2018_DBunk_19,SAMN19021238,I,DBunk,2018,March,26,1,female,pulex,0,0,0,0
March20_2018_DBunk_2,SAMN19021239,N,DBunk,2018,March,19,1,female,pulex,0,0,0,0
March20_2018_DBunk_20,SAMN19021240,J,DBunk,2018,March,13,1,female,pulex,0,0,0,0
March20_2018_DBunk_21,SAMN18938162,G,DBunk,2018,March,3,1,female,obtusa,0,0,0,1
March20_2018_DBunk_22,SAMN18938163,G,DBunk,2018,March,6,1,female,obtusa,0,0,0,0
March20_2018_DBunk_23,SAMN18938164,G,DBunk,2018,March,9,1,female,obtusa,0,0,0,0
March20_2018_DBunk_24,SAMN19021241,AN,DBunk,2018,March,37,1,female,pulex,0,0,0,0
March20_2018_DBunk_25,SAMN19021242,AN,DBunk,2018,March,18,1,female,pulex,0,0,0,0
March20_2018_DBunk_26,SAMN18938165,G,DBunk,2018,March,15,1,female,obtusa,0,0,0,0
March20_2018_DBunk_27,SAMN19021243,OO,DBunk,2018,March,22,1,female,pulex,0,0,0,0
March20_2018_DBunk_28,SAMN19021244,J,DBunk,2018,March,19,1,female,pulex,0,0,0,0
March20_2018_DBunk_29,SAMN19021245,I,DBunk,2018,March,28,1,female,pulex,0,0,0,0
March20_2018_DBunk_3,SAMN19021246,OO,DBunk,2018,March,25,1,female,pulex,0,0,0,0
March20_2018_DBunk_30,SAMN19021247,J,DBunk,2018,March,26,1,female,pulex,0,0,0,0
March20_2018_DBunk_31,SAMN19021248,N,DBunk,2018,March,17,1,female,pulex,0,0,0,0
March20_2018_DBunk_32,SAMN19021249,I,DBunk,2018,March,21,1,female,pulex,0,0,0,0
March20_2018_DBunk_33,SAMN19021250,I,DBunk,2018,March,7,1,female,pulex,0,0,0,0
March20_2018_DBunk_34,SAMN19021251,N,DBunk,2018,March,19,1,female,pulex,0,0,0,0
March20_2018_DBunk_35,SAMN19021252,OO,DBunk,2018,March,18,1,female,pulex,0,0,0,0
March20_2018_DBunk_36,SAMN19021253,I,DBunk,2018,March,17,1,female,pulex,0,0,0,0
March20_2018_DBunk_37,SAMN18938166,G,DBunk,2018,March,5,1,female,obtusa,0,0,0,0
March20_2018_DBunk_38,SAMN18938167,G,DBunk,2018,March,20,1,female,obtusa,0,0,0,0
March20_2018_DBunk_4,SAMN19021254,I,DBunk,2018,March,18,1,female,pulex,0,0,0,0
March20_2018_DBunk_40,SAMN18938168,G,DBunk,2018,March,13,1,female,obtusa,0,0,0,0
March20_2018_DBunk_41,SAMN18938169,G,DBunk,2018,March,10,1,female,obtusa,0,0,0,0
March20_2018_DBunk_42,SAMN18938170,G,DBunk,2018,March,8,1,female,obtusa,0,0,0,0
March20_2018_DBunk_43,SAMN18938171,G,DBunk,2018,March,12,1,female,obtusa,0,0,0,0
March20_2018_DBunk_5,SAMN19021255,J,DBunk,2018,March,6,1,female,pulex,0,0,0,0
March20_2018_DBunk_6,SAMN19021256,OO,DBunk,2018,March,22,1,female,pulex,0,0,0,0
March20_2018_DBunk_7,SAMN19021257,I,DBunk,2018,March,12,1,female,pulex,0,0,0,0
March20_2018_DBunk_8,SAMN19021258,N,DBunk,2018,March,16,1,female,pulex,0,0,0,0
March20_2018_DBunk_9,SAMN19021259,J,DBunk,2018,March,21,1,female,pulex,0,0,0,0
March20_2018_Dcat_1,SAMN19021260,B,Dcat,2018,March,15,1,female,pulex,0,0,0,0
March20_2018_DCat_18004,SAMN19021261,OO,Dcat,2018,March,14,0,female,pulex,0,0,1,0
March20_2018_DCat_18006,SAMN19021262,B,DCat,2018,March,11,0,female,pulex,0,0,1,0
March20_2018_DCat_18017,SAMN19021263,B,DCat,2018,March,6,0,female,pulex,0,0,1,0
March20_2018_DCat_18031,SAMN19021264,OO,DCat,2018,March,9,0,female,pulex,0,0,1,0
March20_2018_DCat_18033,SAMN19021265,B,DCat,2018,March,4,0,female,pulex,0,0,1,0
March20_2018_DCat_18040,SAMN19021266,B,DCat,2018,March,6,0,female,pulex,0,0,1,0
March20_2018_DCat_18042,SAMN19021267,B,DCat,2018,March,6,0,female,pulex,0,0,1,0
March20_2018_DCat_18047,SAMN19021268,B,DCat,2018,March,12,0,female,pulex,0,0,1,0
March20_2018_DCat_18048,SAMN19021269,B,DCat,2018,March,7,0,female,pulex,0,0,1,0
March20_2018_Dcat_2,SAMN19021270,B,Dcat,2018,March,18,1,female,pulex,0,0,0,0
May_2017_D8_503,SAMN19067599,C,D8,2017,May,18,0,female,pulex,0,0,0,0
May_2017_D8_515,SAMN19067600,C,D8,2017,May,19,0,female,pulex,0,0,1,0
May_2017_D8_520,SAMN19067601,A,D8,2017,May,9,0,female,pulex,0,0,0,0
May_2017_D8_521,SAMN19067602,A,D8,2017,May,5,0,female,pulex,0,0,0,0
May_2017_D8_532,SAMN19067603,A,D8,2017,May,6,0,female,pulex,0,0,0,0
May_2017_D8_538,SAMN19067604,OO,D8,2017,May,21,0,female,pulex,0,0,0,0
May_2017_D8_539,SAMN19067605,A,D8,2017,May,15,0,female,pulex,0,0,0,0
May_2017_D8_542,SAMN19067606,A,D8,2017,May,20,0,female,pulex,0,0,0,0
May_2017_D8_544,SAMN19067607,OO,D8,2017,May,17,0,female,pulex,0,0,0,0
May_2017_D8_548,SAMN19067608,R,D8,2017,May,15,0,female,pulex,0,0,0,0
May_2017_D8_612,SAMN19067609,A,D8,2017,May,27,0,female,pulex,0,0,0,0
May_2017_D8_632,SAMN19067610,C,D8,2017,May,12,0,female,pulex,0,0,0,0
May_2017_D8_634,SAMN19067611,A,D8,2017,May,14,0,female,pulex,0,0,0,0
May_2017_D8_663,SAMN19067612,A,D8,2017,May,16,0,female,pulex,0,0,0,0
May_2017_D8_668,SAMN19067613,A,D8,2017,May,19,0,female,pulex,0,0,0,0
May_2017_D8_673,SAMN19067614,A,D8,2017,May,20,0,female,pulex,0,0,0,0
May_2017_D8_726,SAMN19067615,A,D8,2017,May,17,0,female,pulex,0,0,0,0
May_2017_D8_731,SAMN19067616,OO,D8,2017,May,11,0,female,pulex,0,0,0,0
May_2017_D8_735,SAMN19067617,R,D8,2017,May,14,0,female,pulex,0,0,0,0
May_2017_D8_752,SAMN19067618,C,D8,2017,May,16,0,female,pulex,0,0,0,0
May_2017_D8_756,SAMN19067619,A,D8,2017,May,16,0,female,pulex,0,0,0,0
May_2017_D8_758,SAMN19067620,C,D8,2017,May,16,0,female,pulex,0,0,0,0
May_2017_D8_770,SAMN19067621,A,D8,2017,May,12,0,female,pulex,0,0,0,0
May_2017_D8_771,SAMN19067622,A,D8,2017,May,17,0,female,pulex,0,0,0,0
May_2017_D8_773,SAMN19067623,C,D8,2017,May,11,0,female,pulex,0,0,0,0
May_2017_D8_776,SAMN19067624,A,D8,2017,May,17,0,female,pulex,0,0,0,0
May_2017_D8_780,SAMN19067625,C,D8,2017,May,17,0,female,pulex,0,0,0,0
May_2017_DBunk_509,SAMN19067626,OO,DBunk,2017,May,6,0,female,pulex,0,0,0,0
May_2017_DBunk_514,SAMN19067627,OO,DBunk,2017,May,13,0,female,pulex,0,0,0,0
May_2017_DBunk_515,SAMN19067628,AD,DBunk,2017,May,12,0,female,pulex,0,0,0,0
May_2017_DBunk_519,SAMN19067629,E,DBunk,2017,May,17,0,female,pulex,0,0,0,0
May_2017_DBunk_520,SAMN19067630,K,DBunk,2017,May,19,0,female,pulex,0,0,0,0
May_2017_DBunk_523,SAMN19067631,OO,DBunk,2017,May,13,0,female,pulex,0,0,0,0
May_2017_DBunk_525,SAMN19067632,OO,DBunk,2017,May,18,0,female,pulex,0,0,0,0
May_2017_DBunk_535,SAMN19067633,E,DBunk,2017,May,17,0,female,pulex,0,0,0,0
May_2017_DBunk_536,SAMN19067634,F,DBunk,2017,May,9,0,female,pulex,0,0,0,0
May_2017_DBunk_540,SAMN19067635,E,DBunk,2017,May,16,0,female,pulex,0,0,0,0
May_2017_DBunk_547,SAMN19067636,OO,DBunk,2017,May,16,0,female,pulex,0,0,0,0
May_2017_DBunk_549B,SAMN19067637,OO,DBunk,2017,May,15,0,female,pulex,0,0,0,0
May_2017_DBunk_550,SAMN19067638,F,DBunk,2017,May,16,0,female,pulex,0,0,0,0
May_2017_DBunk_554,SAMN19067639,OO,DBunk,2017,May,15,0,female,pulex,0,0,0,0
May_2017_DBunk_557,SAMN19067640,AO,DBunk,2017,May,19,0,female,pulex,0,0,0,0
May_2017_DBunk_558,SAMN19067641,OO,DBunk,2017,May,12,0,female,pulex,0,0,0,0
May_2017_DBunk_561,SAMN19067642,K,DBunk,2017,May,17,0,female,pulex,0,0,0,0
May_2017_DBunk_567,SAMN19067643,K,DBunk,2017,May,15,0,female,pulex,0,0,0,0
May_2017_DBunk_569,SAMN19067644,F,DBunk,2017,May,19,0,female,pulex,0,0,0,0
May_2017_DBunk_575,SAMN19067645,E,DBunk,2017,May,14,0,female,pulex,0,0,0,0
May_2017_DBunk_579,SAMN19067646,OO,DBunk,2017,May,19,0,female,pulex,0,0,0,0
May_2017_DBunk_585,SAMN19067647,E,DBunk,2017,May,11,0,female,pulex,0,0,0,0
May_2017_DBunk_589,SAMN19067648,OO,DBunk,2017,May,30,0,female,pulex,0,0,0,0
May_2017_DBunk_590,SAMN19067649,OO,DBunk,2017,May,16,0,female,pulex,0,0,0,0
May_2017_DBunk_591,SAMN19067650,OO,DBunk,2017,May,11,0,female,pulex,0,0,0,0
May_2017_DBunk_594,SAMN19067651,A,DBunk,2017,May,17,0,female,pulex,0,0,0,0
Spring_2016_D10_10.1,SAMN19067652,D,D10,2016,April,16,0,female,pulex,0,0,0,0
Spring_2016_D10_10.3,SAMN19067653,D,D10,2016,April,13,0,female,pulex,0,0,0,0
Spring_2016_D10_10.4,SAMN19067654,D,D10,2016,April,19,0,female,pulex,0,0,0,0
Spring_2016_D10_10.5,SAMN19067655,D,D10,2016,April,9,0,female,pulex,0,0,0,0
Spring_2016_D10_10.6,SAMN19067656,D,D10,2016,April,18,0,female,pulex,0,0,0,0
Spring_2016_D8_8.10,SAMN19067657,H,D8,2016,April,8,0,female,pulex,0,0,0,0
Spring_2016_D8_8.12,SAMN19067658,H,D8,2016,April,20,0,female,pulex,0,0,0,0
Spring_2016_D8_8.14,SAMN19067659,H,D8,2016,April,20,0,female,pulex,0,0,0,0
Spring_2016_D8_8.16,SAMN19067660,W,D8,2016,April,14,0,female,pulex,0,0,0,0
Spring_2016_D8_8.17,SAMN19067661,C,D8,2016,April,11,0,female,pulex,0,0,0,0
Spring_2016_D8_8.18,SAMN19067662,H,D8,2016,April,18,0,female,pulex,0,0,0,0
Spring_2016_D8_8.20,SAMN19067663,W,D8,2016,April,13,0,female,pulex,0,0,0,0
Spring_2016_D8_8.21,SAMN19067664,H,D8,2016,April,10,0,female,pulex,0,0,0,0
Spring_2016_D8_8.23,SAMN19067665,poC,D8,2016,April,22,0,female,pulex,0,0,0,0
Spring_2016_D8_8.24,SAMN19067666,poH,D8,2016,April,22,0,female,pulex,0,0,0,0
Spring_2016_D8_8.25,SAMN19067667,A,D8,2016,April,6,0,female,pulex,0,0,0,0
Spring_2016_D8_8.26,SAMN19067668,OO,D8,2016,April,19,0,female,pulex,0,0,0,0
Spring_2016_D8_8.28,SAMN19067669,H,D8,2016,April,20,0,female,pulex,0,0,0,0
Spring_2016_D8_8.29,SAMN19067670,H,D8,2016,April,23,0,female,pulex,0,0,0,0
Spring_2016_D8_8.3,SAMN19067671,H,D8,2016,April,11,0,female,pulex,0,0,0,0
Spring_2016_D8_8.31,SAMN19067672,poW,D8,2016,April,25,0,female,pulex,0,0,0,0
Spring_2016_D8_8.32,SAMN19067673,H,D8,2016,April,13,0,female,pulex,0,0,0,0
Spring_2016_D8_8.35,SAMN19067674,H,D8,2016,April,15,0,female,pulex,0,0,0,0
Spring_2016_D8_8.36,SAMN19067675,H,D8,2016,April,13,0,female,pulex,0,0,0,0
Spring_2016_D8_8.8,SAMN19067676,H,D8,2016,April,17,0,female,pulex,0,0,0,0
Spring_2016_D8_8.9,SAMN19067677,H,D8,2016,April,25,0,female,pulex,0,0,0,0
Spring_2016_W1_1.1,SAMN19067678,OO,W1,2016,April,27,0,female,pulex,0,0,0,0
Spring_2016_W6_6.1,SAMN19067679,OO,W6,2016,April,9,0,female,pulex,0,0,0,0
Spring_2016_W6_6.3,SAMN19067680,OO,W6,2016,April,24,0,female,pulex,0,0,0,0
Spring_2017_D8_187,SAMN19067681,A,D8,2017,April,19,0,female,pulex,0,0,0,0
Spring_2017_D8_204,SAMN19067682,C,D8,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_D8_224,SAMN19067683,C,D8,2017,April,15,0,female,pulex,0,0,0,0
Spring_2017_D8_225,SAMN19067684,A,D8,2017,April,23,0,female,pulex,0,0,0,0
Spring_2017_D8_262,SAMN19067685,A,D8,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_D8_282,SAMN19067686,A,D8,2017,April,19,0,female,pulex,0,0,0,0
Spring_2017_D8_294,SAMN19067687,A,D8,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_D8_327,SAMN19067688,A,D8,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_D8_329,SAMN19067689,A,D8,2017,April,12,0,female,pulex,0,0,0,0
Spring_2017_D8_336,SAMN19067690,OO,D8,2017,April,20,0,female,pulex,0,0,0,0
Spring_2017_D8_339,SAMN19067691,A,D8,2017,April,22,0,female,pulex,0,0,0,0
Spring_2017_D8_340,SAMN19067692,A,D8,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_D8_343,SAMN19067693,A,D8,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_D8_350,SAMN19067694,A,D8,2017,April,18,0,female,pulex,0,0,0,0
Spring_2017_D8_362,SAMN19067695,A,D8,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_D8_366,SAMN19067696,A,D8,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_101,SAMN19067697,F,DBunk,2017,April,19,0,female,pulex,0,0,0,0
Spring_2017_DBunk_106,SAMN19067698,L,DBunk,2017,April,18,0,female,pulex,0,0,0,0
Spring_2017_DBunk_110,SAMN19067699,M,DBunk,2017,April,21,0,female,pulex,0,0,0,0
Spring_2017_DBunk_113,SAMN19067700,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_116,SAMN19067701,E,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_122,SAMN19067702,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_DBunk_125,SAMN19067703,OO,DBunk,2017,April,8,0,female,pulex,0,0,0,0
Spring_2017_DBunk_143,SAMN19067704,OO,DBunk,2017,April,12,0,female,pulex,0,0,0,0
Spring_2017_DBunk_190,SAMN19067705,E,DBunk,2017,April,12,0,female,pulex,0,0,0,0
Spring_2017_DBunk_198,SAMN19067706,AO,DBunk,2017,April,7,0,female,pulex,0,0,0,0
Spring_2017_DBunk_209,SAMN19067707,E,DBunk,2017,April,7,0,female,pulex,0,0,0,0
Spring_2017_DBunk_215,SAMN19067708,K,DBunk,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_DBunk_217,SAMN19067709,OO,DBunk,2017,April,18,0,female,pulex,0,0,0,0
Spring_2017_DBunk_222,SAMN19067710,AP,DBunk,2017,April,6,0,female,pulex,0,0,0,0
Spring_2017_DBunk_228,SAMN19067711,E,DBunk,2017,April,18,0,female,pulex,0,0,0,0
Spring_2017_DBunk_242,SAMN19067712,OO,DBunk,2017,April,9,0,female,pulex,0,0,0,0
Spring_2017_DBunk_252,SAMN19067713,OO,DBunk,2017,April,15,0,female,pulex,0,0,0,0
Spring_2017_DBunk_260,SAMN19067714,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_277,SAMN19067715,L,DBunk,2017,April,10,0,female,pulex,0,0,0,0
Spring_2017_DBunk_281,SAMN19067716,M,DBunk,2017,April,15,0,female,pulex,0,0,0,0
Spring_2017_DBunk_295,SAMN19067717,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_298,SAMN19067718,L,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_315,SAMN19067719,OO,DBunk,2017,April,7,0,female,pulex,0,0,0,0
Spring_2017_DBunk_317,SAMN19067720,Y,DBunk,2017,April,8,0,female,pulex,0,0,0,0
Spring_2017_DBunk_320,SAMN19067721,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_321,SAMN19067722,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_333,SAMN19067723,F,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_338,SAMN19067724,E,DBunk,2017,April,23,0,female,pulex,0,0,0,0
Spring_2017_DBunk_34,SAMN19067725,E,DBunk,2017,April,9,0,female,pulex,0,0,0,0
Spring_2017_DBunk_347,SAMN19067726,F,DBunk,2017,April,20,0,female,pulex,0,0,0,0
Spring_2017_DBunk_353,SAMN19067727,OO,DBunk,2017,April,11,0,female,pulex,0,0,0,0
Spring_2017_DBunk_359,SAMN19067728,E,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_360,SAMN19067729,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_363,SAMN19067730,AQ,DBunk,2017,April,11,0,female,pulex,0,0,0,0
Spring_2017_DBunk_367,SAMN19067731,OO,DBunk,2017,April,19,0,female,pulex,0,0,0,0
Spring_2017_DBunk_373,SAMN19067732,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
Spring_2017_DBunk_378,SAMN19067733,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_380,SAMN19067734,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_387,SAMN19067735,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
Spring_2017_DBunk_399,SAMN19067736,K,DBunk,2017,April,12,0,female,pulex,0,0,0,0
Spring_2017_DBunk_64,SAMN19067737,E,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_73,SAMN19067738,AP,DBunk,2017,April,14,0,female,pulex,0,0,0,0
Spring_2017_DBunk_83,SAMN19067739,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
Spring_2017_DBunk_99,SAMN19067740,AQ,DBunk,2017,April,9,0,female,pulex,0,0,0,0