clone,clone_ID,rep,pond,season,start_experiment,end_experiment,total_ephippia,counted_by,total_individuals,total_females,total_males
Spring_2016_D10_10.1,AD10_1,1,D10,spring_2016,2/1/18,3/9/18,1,KB,34,34,0
Spring_2016_D10_10.1,AD10_1,2,D10,spring_2016,2/1/18,3/9/18,1,DD-M,26,25,1
Spring_2016_D10_10.3,AD10_3,1,D10,spring_2016,2/1/18,3/9/18,2,KB,8,3,5
Spring_2016_D10_10.5,AD10_5,1,D10,spring_2016,2/7/18,3/9/18,4,DD-M,31,28,3
NA,AW1_1,1,W1,spring_2016,2/2/18,3/9/18,7,NA,NA,NA,NA
Fall_2016_D10_45,D10_45,1,D10,fall_2016,1/30/18,3/9/18,0,KB,31,31,0
Fall_2016_D10_46,D10_46,1,D10,fall_2016,2/1/18,3/9/18,1,NA,NA,NA,NA
Fall_2016_D10_49,D10_49,1,D10,fall_2016,2/2/18,3/9/18,2,KB,37,23,14
Fall_2016_D10_57,D10_57,1,D10,fall_2016,2/1/18,3/9/18,8,KB,18,16,2
Fall_2016_D10_70,D10_70,1,D10,fall_2016,1/23/18,3/8/18,2,KB,33,33,0
Fall_2016_D10_71,D10_70,1,D10,fall_2016,1/26/18,3/9/18,1,CY,7,6,1
Fall_2016_D10_74,D10_74,1,D10,fall_2016,1/26/18,3/9/18,3,KB,35,35,0
Fall_2016_D10_76,D10_76,1,D10,fall_2016,2/7/18,3/9/18,0,KB,42,39,3
Fall_2016_D10_81,D10_81,1,D10,fall_2016,1/30/18,3/9/18,0,KB,37,25,12
Fall_2016_D10_84,D10_84,1,D10,fall_2016,1/26/18,3/9/18,0,KB,29,29,0
Fall_2016_D10_85,D10_85,1,D10,fall_2016,2/1/18,3/9/18,2,CY,51,45,6
Fall_2016_D10_A12,D10_A12,1,D10,fall_2016,1/23/18,3/8/18,3,KB,33,33,0
Fall_2016_D10_A14,D10_A14,1,D10,fall_2016,1/30/18,3/9/18,1,DD-M,33,31,2
Fall_2016_D10_A21,D10_A21,1,D10,fall_2016,2/1/18,3/9/18,6,NA,NA,NA,NA
Fall_2016_D10_A6,D10_A6,1,D10,fall_2016,2/1/18,3/9/18,3,KB,40,32,8
Fall_2016_D10_A7,D10_A7,1,D10,fall_2016,1/30/18,3/9/18,3,CY,46,37,9
April_2017_D8_103,D8_103,1,D8,spring_2017,1/25/18,3/8/18,2,KB,6,6,0
April_2017_D8_119,D8_119,1,D8,spring_2017,1/24/18,3/8/18,1,KB,13,10,3
April_2017_D8_119,D8_119,2,D8,spring_2017,1/24/18,3/8/18,1,DD-M,12,12,0
April_2017_D8_131,D8_131,1,D8,spring_2017,2/7/18,3/9/18,1,KB,49,41,8
April_2017_D8_147,D8_147,1,D8,spring_2017,2/7/18,3/9/18,0,KB,53,53,0
April_2017_D8_147,D8_147,1,D8,spring_2017,2/7/18,3/9/18,2,CY,37,34,3
April_2017_D8_147,D8_147,2,D8,spring_2017,2/7/18,3/9/18,2,DD-M,37,33,4
April_2017_D8_150,D8_150,1,D8,spring_2017,1/24/18,3/8/18,4,KB,9,7,2
April_2017_D8_179,D8_179,1,D8,spring_2017,1/23/18,3/8/18,0,KB,6,6,0
April_2017_D8_179,D8_179,2,D8,spring_2017,1/23/18,3/8/18,0,DD-M,6,6,0
April_2017_D8_183,D8_183,1,D8,spring_2017,2/7/18,3/9/18,2,DD-M,56,50,6
April_2017_D8_183,D8_183,1,D8,spring_2017,2/7/18,3/9/18,2,DD-M,25,25,0
April_2017_D8_205,D8_205,1,D8,spring_2017,2/8/18,3/9/18,0,DD-M,42,42,0
April_2017_D8_205,D8_205,1,D8,spring_2017,2/7/18,3/9/18,0,KB,46,34,12
April_2017_D8_209,D8_209,1,D8,spring_2017,1/25/18,3/8/18,1,NA,NA,NA,NA
April_2017_D8_212,D8_212,1,D8,spring_2017,1/24/18,3/8/18,0,KB,13,10,3
April_2017_D8_212,D8_212,2,D8,spring_2017,1/24/18,3/8/18,0,DD-M,12,9,3
April_2017_D8_213,D8_213,1,D8,spring_2017,1/25/18,3/8/18,0,DD-M,15,12,3
Spring_2017_D8_222,D8_222,1,D8,spring_2017,1/25/18,3/8/18,6,KB,8,0,8
Spring_2017_D8_222,D8_222,2,D8,spring_2017,1/25/18,3/8/18,6,DD-M,8,0,8
April_2017_D8_223,D8_223,1,D8,spring_2017,1/25/18,3/8/18,1,KB,24,12,12
Spring_2017_D8_225,D8_225,1,D8,spring_2017,1/24/18,3/8/18,2,NA,NA,NA,NA
April_2017_D8_227,D8_227,1,D8,spring_2017,1/25/18,3/8/18,3,DD-M,11,10,1
April_2017_D8_230,D8_230,1,D8,spring_2017,2/1/18,3/9/18,4,NA,NA,NA,NA
April_2017_D8_248,D8_248,1,D8,spring_2017,1/24/18,3/8/18,1,CY,15,11,4
April_2017_D8_248,D8_248,2,D8,spring_2017,1/24/18,3/8/18,1,DD-M,15,12,3
April_2017_D8_249,D8_249,1,D8,spring_2017,1/25/18,3/8/18,0,KB,1,1,0
April_2017_D8_254,D8_254,1,D8,spring_2017,1/23/18,3/8/18,2,KB,5,0,5
Spring_2017_D8_282,D8_282,1,D8,spring_2017,1/23/18,3/8/18,0,DD-M,7,0,7
April_2017_D8_285,D8_285,1,D8,spring_2017,1/24/18,3/8/18,1,CY,15,14,1
April_2017_D8_285,D8_285,2,D8,spring_2017,1/24/18,3/8/18,1,DD-M,13,11,2
Spring_2017_D8_294,D8_294,1,D8,spring_2017,1/25/18,3/8/18,3,KB,24,17,7
April_2017_D8_298,D8_298,1,D8,spring_2017,1/24/18,3/8/18,3,KB,31,31,0
April_2017_D8_304,D8_304,1,D8,spring_2017,2/1/18,3/9/18,6,KB,41,38,3
April_2017_D8_342,D8_342,1,D8,spring_2017,1/23/18,3/8/18,4,NA,4,3,1
Spring_2017_D8_343,D8_343,1,D8,spring_2017,1/30/18,3/9/18,0,KB,31,31,0
Spring_2017_D8_343,D8_343,2,D8,spring_2017,1/30/18,3/9/18,0,DD-M,21,21,0
April_2017_D8_359,D8_359,1,D8,spring_2017,1/23/18,3/8/18,1,NA,9,7,2
April_2017_D8_360,D8_360,1,D8,spring_2017,2/2/18,3/9/18,0,NA,NA,NA,NA
Spring_2017_D8_362,D8_362,1,D8,spring_2017,1/30/18,3/9/18,0,KB,30,24,6
Spring_2017_D8_366,D8_366,1,D8,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
April_2017_D8_399,D8_399,1,D8,spring_2017,1/24/18,3/8/18,0,KB,7,6,1
May_2017_D8_515,D8_515,1,D8,spring_2017,2/1/18,3/9/18,3,KB,39,28,11
May_2017_D8_521,D8_521,1,D8,spring_2017,1/23/18,3/8/18,3,DD-M,25,20,5
May_2017_D8_539,D8_539,1,D8,spring_2017,1/26/18,3/9/18,3,CY,24,22,2
May_2017_D8_544,D8_544,1,D8,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
May_2017_D8_548,D8_548,1,D8,spring_2017,1/26/18,3/9/18,0,NA,1,1,0
April_2017_D8_60,D8_60,1,D8,spring_2017,1/19/18,3/8/18,4,KB,21,19,2
April_2017_D8_65,D8_65,1,D8,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
May_2017_D8_668,D8_668,1,D8,spring_2017,1/25/18,3/8/18,0,DD-M,15,15,0
May_2017_D8_668,D8_668,1,D8,spring_2017,2/2/18,NA,0,NA,NA,NA,NA
May_2017_D8_668,D8_668,1,D8,spring_2017,1/19/18,3/8/18,1,DD-M,23,19,4
May_2017_D8_668,D8_668,2,D8,spring_2017,1/19/18,3/8/18,1,DD-M,15,15,0
May_2017_D8_726,D8_726,1,D8,spring_2017,2/7/18,3/9/18,2,KB,37,36,1
April_2017_D8_73,D8_73,1,D8,spring_2017,1/26/18,NA,0,KB,31,28,3
April_2017_D8_73,D8_73,1,D8,spring_2017,1/19/18,3/8/18,0,NA,NA,NA,NA
May_2017_D8_756,D8_756,1,D8,spring_2017,1/24/18,3/8/18,1,DD-M,22,16,6
May_2017_D8_756,D8_756,2,D8,spring_2017,1/24/18,3/8/18,1,ZW,17,13,4
May_2017_D8_770,D8_770,1,D8,spring_2017,1/24/18,3/8/18,1,DD-M,23,20,3
May_2017_D8_770,D8_770,2,D8,spring_2017,1/24/18,3/8/18,1,ZW,10,8,2
May_2017_D8_771,D8_771,1,D8,spring_2017,1/24/18,3/8/18,0,KB,26,23,3
May_2017_D8_771,D8_771,2,D8,spring_2017,1/24/18,3/8/18,0,DD-M,28,23,5
April_2017_D8_9,D8_9,1,D8,spring_2017,2/8/18,3/9/18,0,KB,1,0,1
Spring_2017_DBunk_101,DBunk_101,1,DBunk,spring_2017,1/30/18,3/9/18,0,KB,21,21,0
Spring_2017_DBunk_110,DBunk_110,1,DBunk,spring_2017,1/24/18,3/8/18,2,DD-M,9,2,7
April_2017_DBunk_111,DBunk_111,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,8,1,7
April_2017_DBunk_112,DBunk_112,1,DBunk,spring_2017,1/19/18,3/8/18,5,DD-M,9,4,5
Spring_2017_DBunk_116,DBunk_116,1,DBunk,spring_2017,1/19/18,3/8/18,3,DD-M,17,11,6
Spring_2017_DBunk_116,DBunk_116,1,DBunk,spring_2017,2/1/18,3/9/18,4,CY,23,23,0
Spring_2017_DBunk_122,DBunk_122,1,DBunk,spring_2017,1/24/18,3/8/18,4,KB,21,13,8
Spring_2017_DBunk_125,DBunk_125,1,DBunk,spring_2017,2/2/18,3/9/18,0,DD-M,5,5,0
Spring_2017_DBunk_13,DBunk_13,1,DBunk,spring_2017,1/24/18,3/8/18,4,DD-M,2,0,2
April_2017_DBunk_131,DBunk_131,1,DBunk,spring_2017,1/25/18,3/8/18,0,CY,25,24,1
April_2017_DBunk_132,DBunk_132,1,DBunk,spring_2017,2/2/18,3/9/18,1,CY,26,22,4
Spring_2017_DBunk_143,DBunk_143,1,DBunk,spring_2017,1/23/18,3/8/18,1,DD-M,8,1,7
Spring_2017_DBunk_143,DBunk_143,2,DBunk,spring_2017,1/23/18,3/8/18,1,ZW,7,2,5
Spring_2017_DBunk_190,DBunk_190,1,DBunk,spring_2017,1/23/18,3/8/18,1,NA,NA,NA,NA
Spring_2017_DBunk_209,DBunk_209,1,DBunk,spring_2017,1/25/18,3/8/18,0,NA,NA,NA,NA
April_2017_DBunk_213,DBunk_213,1,DBunk,spring_2017,1/19/18,3/8/18,2,NA,NA,NA,NA
April_2017_DBunk_213,DBunk_213,1,DBunk,spring_2017,1/26/18,3/9/18,4,KB,24,24,0
Spring_2017_DBunk_217,DBunk_217,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,19,14,5
Spring_2017_DBunk_222,DBunk_222,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
Spring_2017_DBunk_228,DBunk_228,1,DBunk,spring_2017,2/1/18,3/9/18,0,NA,NA,NA,NA
Spring_2017_DBunk_232,DBunk_232,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
Spring_2017_DBunk_242,DBunk_242,1,DBunk,spring_2017,1/24/18,3/8/18,6,DD-M,24,19,5
Spring_2017_DBunk_248,DBunk_248,1,DBunk,spring_2017,2/9/18,3/9/18,2,KB,18,18,0
Spring_2017_DBunk_254,DBunk_254,1,DBunk,spring_2017,1/24/18,3/8/18,0,KB,22,22,0
April_2017_DBunk_26,DBunk_26,1,DBunk,spring_2017,1/25/18,3/8/18,0,DD-M,41,37,4
Spring_2017_DBunk_260,DBunk_260,1,DBunk,spring_2017,2/1/18,3/9/18,0,KB,23,23,0
Spring_2017_DBunk_298,DBunk_298,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
April_2017_DBunk_314,DBunk_314,1,DBunk,spring_2017,1/25/18,3/8/18,5,KB,14,8,6
Spring_2017_DBunk_315,DBunk_315,1,DBunk,spring_2017,1/30/18,3/9/18,3,NA,NA,NA,NA
Spring_2017_DBunk_317,DBunk_317,1,DBunk,spring_2017,1/25/18,3/8/18,3,NA,NA,NA,NA
Spring_2017_DBunk_320,DBunk_320,1,DBunk,spring_2017,2/1/18,3/9/18,7,DD-M,5,4,1
Spring_2017_DBunk_338,DBunk_338,1,DBunk,spring_2017,1/26/18,3/9/18,0,DD-M,11,10,1
Spring_2017_DBunk_34,DBunk_34,1,DBunk,spring_2017,1/24/18,3/8/18,1,DD-M,22,19,3
Spring_2017_DBunk_340,DBunk_340,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
Spring_2017_DBunk_360,DBunk_360,1,DBunk,spring_2017,1/25/18,3/8/18,1,NA,3,3,0
Spring_2017_DBunk_373,DBunk_373,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,25,24,1
Spring_2017_DBunk_387,DBunk_387,1,DBunk,spring_2017,1/26/18,3/9/18,1,DD-M,37,25,12
Spring_2017_DBunk_399,DBunk_399,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,10,10,0
NA,DBunk_509,1,DBunk,spring_2017,1/19/18,3/8/18,0,NA,NA,NA,NA
NA,DBunk_509,1,DBunk,spring_2017,1/25/18,3/8/18,1,KB,14,10,4
May_2017_DBunk_514,DBunk_514,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,30,28,2
May_2017_DBunk_515,DBunk_515,1,DBunk,spring_2017,1/30/18,3/9/18,0,CY,18,16,2
May_2017_DBunk_523,DBunk_523,1,DBunk,spring_2017,1/24/18,3/8/18,2,KB,25,25,0
May_2017_DBunk_525,DBunk_525,1,DBunk,spring_2017,1/23/18,NA,3,NA,NA,NA,NA
May_2017_DBunk_525,DBunk_525,2,DBunk,spring_2017,1/23/18,NA,3,DD-M,11,11,0
May_2017_DBunk_535,DBunk_535,1,DBunk,spring_2017,1/23/18,3/8/18,5,DD-M,5,4,1
May_2017_DBunk_540,DBunk_540,1,DBunk,spring_2017,1/19/18,3/8/18,10,KB,14,14,0
May_2017_DBunk_540,DBunk_540,1,DBunk,spring_2017,1/26/18,3/9/18,2,NA,NA,NA,NA
May_2017_DBunk_547,DBunk_547,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,18,18,0
May_2017_DBunk_549B,DBunk_549,1,DBunk,spring_2017,1/25/18,3/8/18,1,NA,NA,NA,NA
May_2017_DBunk_550,DBunk_550,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_554,DBunk_554,1,DBunk,spring_2017,1/19/18,3/8/18,5,KB,21,20,1
May_2017_DBunk_558,DBunk_558,1,DBunk,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_561,DBunk_561,1,DBunk,spring_2017,1/25/18,3/8/18,0,DD-M,1,1,0
May_2017_DBunk_569,DBunk_569,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,4,4,0
May_2017_DBunk_579,DBunk_579,1,DBunk,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_585,DBunk_585,1,DBunk,spring_2017,1/24/18,3/8/18,2,KB,21,21,0
Spring_2017_DBunk_64,DBunk_64,1,DBunk,spring_2017,2/1/18,3/9/18,1,DD-M,30,30,0
April_2017_DBunk_7,DBunk_7,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
Spring_2017_DBunk_73,DBunk_73,1,DBunk,spring_2017,1/24/18,3/8/18,0,CY,22,22,0
Spring_2017_DBunk_73,DBunk_73,2,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,22,22,0
Spring_2017_DBunk_83,DBunk_83,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,3,1,2
Spring_2017_DBunk_99,DBunk_99,1,DBunk,spring_2017,1/26/18,3/9/18,0,KB,20,15,5
Spring_2017_DBunk_99,DBunk_99,1,DBunk,spring_2017,1/19/18,3/8/18,1,KB,4,4,0
